[2025-03-24 13:58:18,323][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,324][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,324][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,324][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,326][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,326][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,326][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,327][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,327][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,327][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,327][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,327][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,327][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,330][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,330][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,330][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,331][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,330][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,329][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,329][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,326][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,331][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,332][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,331][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,330][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,332][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,330][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,333][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,333][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,333][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,333][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,334][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,333][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,334][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,333][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,332][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,332][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,336][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,337][__main__][ERROR] - Exited safely by ctrl+c.
